Clusters    AR3 AR4 AR6 AR8 AR10
80  0.442173913043  0.383913043478  0.265652173913  0.259565217391  0.256086956522
160 0.87347826087   0.785217391304  0.414782608696  0.34652173913   0.311739130435
240 0.989565217391  0.987391304348  0.892608695652  0.773913043478  0.630869565217
320 0.996086956522  0.99347826087   0.997826086957  0.986956521739  0.957826086957
400 0.998260869565  0.995652173913  1.0 0.998695652174  0.988695652174
480 0.999130434783  0.997391304348  1.0 0.999565217391  0.999565217391
560 0.999130434783  0.998260869565  1.0 1.0 1.0
640 1.0 0.999130434783  1.0 1.0 0.999565217391
720 1.0 0.999565217391  1.0 0.999565217391  1.0
800 1.0 0.999565217391  1.0 1.0 1.0

